"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value"
"20001","Researchers (FTE) - Total ","AUS","Australia","1996","1996",61041
"20001","Researchers (FTE) - Total ","AUS","Australia","1998","1998",62865
"20001","Researchers (FTE) - Total ","AUS","Australia","2000","2000",66001
"20001","Researchers (FTE) - Total ","AUS","Australia","2002","2002",73173
"20001","Researchers (FTE) - Total ","AUS","Australia","2004","2004",81192
"20001","Researchers (FTE) - Total ","AUS","Australia","2006","2006",87201
"20001","Researchers (FTE) - Total ","AUS","Australia","2008","2008",92649
"20001","Researchers (FTE) - Total ","AUT","Austria","1998","1998",18715
"20001","Researchers (FTE) - Total ","AUT","Austria","2002","2002",24124
"20001","Researchers (FTE) - Total ","AUT","Austria","2004","2004",25955
"20001","Researchers (FTE) - Total ","AUT","Austria","2005","2005",28470
"20001","Researchers (FTE) - Total ","AUT","Austria","2006","2006",29199
"20001","Researchers (FTE) - Total ","AUT","Austria","2007","2007",31676
"20001","Researchers (FTE) - Total ","AUT","Austria","2008","2008",34508
"20001","Researchers (FTE) - Total ","AUT","Austria","2009","2009",34664
"20001","Researchers (FTE) - Total ","AUT","Austria","2010","2010",36581
"20001","Researchers (FTE) - Total ","AUT","Austria","2011","2011",37114
"20001","Researchers (FTE) - Total ","AUT","Austria","2012","2012",39362
"20001","Researchers (FTE) - Total ","AUT","Austria","2013","2013",39923
"20001","Researchers (FTE) - Total ","BEL","Belgium","1996","1996",25130
"20001","Researchers (FTE) - Total ","BEL","Belgium","1997","1997",26263
"20001","Researchers (FTE) - Total ","BEL","Belgium","1998","1998",27592
"20001","Researchers (FTE) - Total ","BEL","Belgium","1999","1999",29732
"20001","Researchers (FTE) - Total ","BEL","Belgium","2000","2000",30540
"20001","Researchers (FTE) - Total ","BEL","Belgium","2001","2001",32237
"20001","Researchers (FTE) - Total ","BEL","Belgium","2002","2002",30668
"20001","Researchers (FTE) - Total ","BEL","Belgium","2003","2003",30917
"20001","Researchers (FTE) - Total ","BEL","Belgium","2004","2004",32400
"20001","Researchers (FTE) - Total ","BEL","Belgium","2005","2005",33146
"20001","Researchers (FTE) - Total ","BEL","Belgium","2006","2006",34879
"20001","Researchers (FTE) - Total ","BEL","Belgium","2007","2007",36318
"20001","Researchers (FTE) - Total ","BEL","Belgium","2008","2008",36774
"20001","Researchers (FTE) - Total ","BEL","Belgium","2009","2009",38225
"20001","Researchers (FTE) - Total ","BEL","Belgium","2010","2010",40832
"20001","Researchers (FTE) - Total ","BEL","Belgium","2011","2011",42686
"20001","Researchers (FTE) - Total ","BEL","Belgium","2012","2012",43813
"20001","Researchers (FTE) - Total ","BEL","Belgium","2013","2013",44649
"20001","Researchers (FTE) - Total ","CAN","Canada","1996","1996",90490
"20001","Researchers (FTE) - Total ","CAN","Canada","1997","1997",93180
"20001","Researchers (FTE) - Total ","CAN","Canada","1998","1998",95214
"20001","Researchers (FTE) - Total ","CAN","Canada","1999","1999",98648
"20001","Researchers (FTE) - Total ","CAN","Canada","2000","2000",107900
"20001","Researchers (FTE) - Total ","CAN","Canada","2001","2001",114510
"20001","Researchers (FTE) - Total ","CAN","Canada","2002","2002",115960
"20001","Researchers (FTE) - Total ","CAN","Canada","2003","2003",123230
"20001","Researchers (FTE) - Total ","CAN","Canada","2004","2004",130380
"20001","Researchers (FTE) - Total ","CAN","Canada","2005","2005",136700
"20001","Researchers (FTE) - Total ","CAN","Canada","2006","2006",140660
"20001","Researchers (FTE) - Total ","CAN","Canada","2007","2007",151330
"20001","Researchers (FTE) - Total ","CAN","Canada","2008","2008",157200
"20001","Researchers (FTE) - Total ","CAN","Canada","2009","2009",150220
"20001","Researchers (FTE) - Total ","CAN","Canada","2010","2010",158660
"20001","Researchers (FTE) - Total ","CAN","Canada","2011","2011",163090
"20001","Researchers (FTE) - Total ","CAN","Canada","2012","2012",156550
"20001","Researchers (FTE) - Total ","CZE","Czech Republic","1996","1996",12963
"20001","Researchers (FTE) - Total ","CZE","Czech Republic","1997","1997",12580
"20001","Researchers (FTE) - Total ","CZE","Czech Republic","1998","1998",12566
"20001","Researchers (FTE) - Total ","CZE","Czech Republic","1999","1999",13535
"20001","Researchers (FTE) - Total ","CZE","Czech Republic","2000","2000",13852
